code,number,obtainedas,genus,species,subspecies,variety,county,state,country,supplyer,old_code,year,cost,location,county_inferred,comment
SARALA001P,001,P,Sarracenia,alata,,,,,,sarracenia.cz,,2014,,,,
SARALA002P,002,P,Sarracenia,alata,,,,,,GFP - Simon Ehrenmann,,2020,,,,
SARALA003P,003,P,Sarracenia,alata,,,,,,Matthias,,2020,,,,
SARALA004S,004,S,Sarracenia,alata,,cuprea,Hardin,Texas,United States,Stefano Tognon - ice00,X121-19,2020,0.7,Texas,,"alata var cuprea Texas , tall, Copper Lid and upper tube x self, county inferred"
SARALA005S,005,S,Sarracenia,alata,,,,,,Angelo Ossino - carnivorandia,556,2022,,,,A60MK x A28MK
SARALA006S,006,S,Sarracenia,alata,,,Stone,Mississippi,United States,Christian Klein,,2022,2.6,,yes,"S. alata, deep maroon throat, Welham --> A02 -- Sarracenia alata rubrioperculata -- MS; Stone Co -- Red lid, maroon tinged bulbous upper pitchers;huge stocky pitchers in autumn -- MK: A20, ST: A11, AS: SA25, RvL: AL19, Welham"
SARALA007S,007,S,Sarracenia,alata,,,,,United States,Christian Klein,,2022,2.6,,,"S. alata, Black Tube, Pubescent Black"
SARALA008S,008,S,Sarracenia,alata,,nigropurpurea,Forrest,Mississippi,United States,sarracenia.fr,SAL-004 B ,2022,2.9,"Desoto, Mississipi",,Beautiful large dark brown form of alata with curved lid. (MK A27)
SARALA009S,009,S,Sarracenia,alata,,atrorubra,,,,sarracenia.fr,SAL-009 A ,2022,2.9,,,Red tube. Dark red form S.alata to curved hood.
SARALA010S,010,S,Sarracenia,alata,,atrorubra,Washington,Alabama,United States,sarracenia.fr,SAL-009 B,2022,2.9,,,"SAL-009 B 2,90 € Sarracenia alata var.atrorubra (red tube)-Deer park-Al "
SARALA011S,011,S,Sarracenia,alata,,atrorubra,,,,sarracenia.fr,SAL-009 C ,2022,2.9,,,"Red Skin. Completely red, inside and outside. Slightly pubescent."
SARALA012S,012,S,Sarracenia,alata,,rubrioperculata,,,,sarracenia.fr,SAL-010   ,2022,2.9,,,"Purple throat Giant. Similar, in larger, to alata red throat. Gets huge."
SARALA013S,013,S,Sarracenia,alata,,alata,Jackson,Mississippi,United States,sarracenia.fr,SAL-015,2022,2.9,,,"SAL-015 2,90 € Sarracenia alata var.alata- red/heavy vein-Jackson Co-Mississippi "
SARFLA001P,001,P,Sarracenia,flava,,rugelii,,,,sarracenia.cz,,2014,,,,
SARFLA002P,002,P,Sarracenia,flava,,,Brunswick,North Carolina,United States,GFP - Simon Ehrenmann,,2020,,Shallotte,,
SARFLA003P,003,P,Sarracenia,flava,,,Sussex,North Carolina,United States,GFP - Simon Ehrenmann,,2020,,,,
SARFLA004P,004,P,Sarracenia,flava,,atropurpurea,Santa Rosa,Florida,United States,Matthias,MKF27C,2020,,,,
SARFLA005P,005,P,Sarracenia,flava,,,,,,Matthias,,2020,,,,
SARFLA006P,006,P,Sarracenia,flava,,,,,,Matthias,,2020,,,,red tube
SARFLA007S,007,S,Sarracenia,flava,,,,,,Michiels Ewoud,,2020,1.6,,,"flava ""Goldie"" x S. flava var. cuprea (MK F90)"
SARFLA008S,008,S,Sarracenia,flava,,rubicorpora,,,,Stefano Tognon - ice00,X19-20,2020,2,,,(F111 MK) x self
SARFLA009S,009,S,Sarracenia,flava,,rubicorpora x ornata,,,,Stefano Tognon - ice00,X22-20,2020,2,,,var. rubicorpora (F111 MK) x flava var ornata F72PW 
SARFLA010S,010,S,Sarracenia,flava,,maxima,Sussex,Virginia,United States,Stefano Tognon - ice00,X38-19,2020,1,"Sussex Co., Virginia",,"flava var. maxima, Beautiful yellow pitchers, Sussex Co., Virginia, F64 Phil Wilson x self"
SARFLA011S,011,S,Sarracenia,flava,,cuprea,,,,Stefano Tognon - ice00,X7-19,2020,1,,,(flava var cuprea Dennis Balsdon x self) x flava var cuprea Dennis Balsdon
SARFLA012S,012,S,Sarracenia,flava,,flava,Bay,Florida,United States,Christian Klein,,2022,2.6,,,"S. flava var. flava, Orange Tube, IP F39a, Sandy Creek"
SARFLA013S,013,S,Sarracenia,flava,,ornata,Gulf,Florida,United States,Christian Klein,,2022,2.6,,,"S. flava var. ornata, F36 Phil Wilson, red throat, Apalachicola National Forest, Wewahitchka, Florida"
SARFLA014S,014,S,Sarracenia,flava,,ornata,Walton,Florida,United States,Christian Klein,,2022,2.6,,,"S. flava var. ornata, Miramar, Florida"
SARFLA015S,015,S,Sarracenia,flava,,cuprea,Brunswick,South Carolina,United States,Christian Klein,,2022,2.6,,,"S. flava var. cuprea, F 216, Green Swamp [Brunswick or Columbus Co.]"
SARFLA016S,016,S,Sarracenia,flava,,rubricorpora,Liberty,Florida,United States,Christian Klein,,2022,2.6,,yes,"S. flava var. rubricorpora, RCP1"
